what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1277458658556
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1277458658556
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1277458658571
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1277458658587
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1277458658587
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1277458658587
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1277458658602
os,sysinfo,,,"win32",1277458658618
arch,sysinfo,,,"x86",1277458658618
ws,sysinfo,,,"win32",1277458658618
locale,sysinfo,,,"en_US",1277458658618
processors,sysinfo,,,"2",1277458658618
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1277458658618
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1277458658618
java.specification.name,sysinfo,,,"Java Platform API Specification",1277458658618
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277458658618
java.specification.version,sysinfo,,,"1.6",1277458658618
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1277458658618
java.version,sysinfo,,,"1.6.0_20",1277458658618
java.vm.info,sysinfo,,,"mixed mode, sharing",1277458658618
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1277458658618
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1277458658618
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277458658618
java.vm.specification.version,sysinfo,,,"1.0",1277458658618
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1277458658618
java.vm.version,sysinfo,,,"16.3-b01",1277458658618
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.AllMarkersView",1277458659212
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277458659212
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1277458660571
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277458660571
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1277458663524
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1277458666056
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1277458668009
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1277458668165
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1277458668227
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1277458668290
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1277458668306
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1277458668665
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277458668915
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277458673290
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277458680431
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1277458682977
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1277458683056
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277458683134
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277458683259
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.format",1277458690915
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1277458693024
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1277458696462
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1277458697587
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277458702087
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277458703165
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1277458703274
